scenario_id,type,side,friction
0,null,null,null
0,null,null,ERO
3,sugg-TB,side-self,null
3,sugg-TB,side-self,YCO
3,sugg-TB,side-self,ROO
3,sugg-TB,side-self,ERO
3,sugg-TB,side-other,null
3,sugg-TB,side-other,ERO
3,sugg-TB,both,null
3,sugg-TB,both,YCO
3,sugg-TB,both,ROO
3,sugg-TB,both,ERO
1,sugg-TKT,side-self,null
1,sugg-TKT,side-self,YCO
1,sugg-TKT,side-self,ROO
1,sugg-TKT,side-self,ERO
1,sugg-TKT,side-other,null
1,sugg-TKT,side-other,ERO
1,sugg-TKT,both,null
1,sugg-TKT,both,YCO
1,sugg-TKT,both,ROO
1,sugg-TKT,both,ERO
2,sugg-VB,side-self,null
2,sugg-VB,side-self,YCO
2,sugg-VB,side-self,ROO
2,sugg-VB,side-self,ERO
2,sugg-VB,side-other,null
2,sugg-VB,side-other,ERO
2,sugg-VB,both,null
2,sugg-VB,both,YCO
2,sugg-VB,both,ROO
2,sugg-VB,both,ERO
4,sugg-VKT,side-self,null
4,sugg-VKT,side-self,YCO
4,sugg-VKT,side-self,ROO
4,sugg-VKT,side-self,ERO
4,sugg-VKT,side-other,null
4,sugg-VKT,side-other,ERO
4,sugg-VKT,both,null
4,sugg-VKT,both,YCO
4,sugg-VKT,both,ROO
4,sugg-VKT,both,ERO
